x,y
-388.59427550677066,533.4427300935598
-392.11695173519365,536.9501000627675
-395.62207683203627,540.474051073019
-399.1106431807464,544.0133883608252
-402.5533589142921,547.5960177785904
-405.96243728321684,551.2093290415957
-409.35251984441754,554.8389040222285
-412.72316464965,558.4849332952198
-416.0739301368192,562.1476083084767
-419.4046825495931,565.8274558605062
-422.7172184895228,569.5246958476956
-426.0120134447865,573.2404877331433
-429.291241940624,576.9731359396961
-432.55625363336765,580.7215170258253
-435.8355387056444,584.4608559468462
-439.11707610859185,588.2020800713518
-442.3886504135543,591.9558908149126
-445.6515761845368,595.721115007373
-448.90717220613317,599.4965785969421
-452.1567577145106,603.2811014852304
-455.4016524330649,607.0735039689163
-458.64318026513314,610.8726036476379
-461.8826672252601,614.6772170585983
-465.12143986866624,618.4861574411103
-468.36083010527403,622.2982395969088
-471.601923914641,626.111981507739
-474.84366964886465,629.9242197220788
-478.08150143882006,633.7336401266433
-481.3043812415384,637.5477797778427
-484.4950457225993,641.3807404696772
-487.6707166477411,645.2176942184077
-490.82796382950187,649.0611760962964
-493.96336328659953,652.9137079551739
-497.0742945629858,656.7771876556187
-500.1278237208516,660.6780062584595
-503.12959061086855,664.611517468495
-506.0967361413626,668.5640518064057
-509.02828467755165,672.5360350590647
-511.92088923424905,676.5297054215971
-514.8157326193218,680.5150026077824
-517.7227019020311,684.4868398601235
-520.5855339462183,688.4869151254455
-523.4009668033868,692.5193725993394
-526.1725067529169,696.5897004663792
-528.9081719767364,700.6992729118531
-531.6151688917439,704.843558324214
-534.2975554617991,709.0186149189276
-536.9270840822185,713.2403968667359
-539.534956860004,717.4877937459325
-542.1365254340176,721.7500897980037
-544.7377399254352,726.0221791685658
-547.3427020291425,730.2965034754695
-549.9511520300538,734.5671148802757
-552.5620695851135,738.8330605321247
-555.1746942184278,743.0958643773871
-557.7908448071169,747.3555199490105
-560.4097850866543,751.6135908842684
-563.0316303183286,755.8711178361635
-565.6564594901229,760.1290827960889
-568.283718872291,764.3876435566077
-570.9108320866562,768.6463215514358
-573.5345260913073,772.905347242639
-576.1518579768842,777.1655114154037
-578.7598976095617,781.4276071509319
-581.3557155635654,785.6924235166418
-583.9363894464374,789.9607389497895
-586.4990004728455,794.2333280110228
-589.0724758744655,798.4921156370243
-591.6239821289624,802.7560162971654
-594.1489294431707,807.0268703354784
-596.6444515078226,811.3054927021734
-599.092857710238,815.601001461527
-601.4096379342474,819.958715987321
-603.6540076472767,824.3428657744515
-605.8552793245076,828.7358610810641
-608.00523995234,833.1170614240216
-610.2757142511017,837.2367249414297
-612.1913640135647,841.2139398374949
-613.6582990414316,845.184124264405
-614.1260728143607,849.0084912033905
-613.5303893646283,852.0932240766908
-612.293666750584,854.6756948610466
-610.2651740543117,857.0030509983313
-607.6866770335068,859.089096131514
-604.6587205486836,860.9931499385864
-600.8809883522689,862.3947133058883
-596.3660938561064,863.211274212608
-591.3367926876189,863.754506757237
-586.1240787542513,864.7416276797194
-581.1316904978179,866.5509145291642
-576.3210295983242,868.3670313291982
-571.5722731675135,869.9412526510908
-566.8757459444593,871.4904094928006
-562.1599763454883,872.9842794208139
-557.4067137083795,874.4292390566133
-552.6168519562817,875.8019411204898
-547.7778147002074,877.0072415998702
-542.9130704795142,878.1059513272825
-538.0410039905353,879.1467407505311
-533.171284027988,880.1423204749707
-528.3053415130299,881.0937104064474
-523.4253074545428,882.0233876091921
-518.5083832094135,883.0010105055738
-513.5498581308926,884.1048588687731
-508.5502055921479,885.4174187621995
-503.5013779794863,887.0120977175334
-498.34806229991864,888.7016426476786
-493.3488738501854,891.0258442606511
-488.70598479149515,894.1536823868413
-484.9360887523562,898.3366159246292
-482.06523329197086,903.1237245301033
-479.8356695748936,908.1779703746961
-477.8979304893226,913.3577974553298
-476.7111169965478,918.7318034299573
-476.48107372057063,924.1146086723357
-476.6815456268719,929.3695183423339
-477.0894894398468,934.4929084778532
-477.57964677059044,939.5035875642452
-478.0314551843483,944.4668022919087
-478.4423713087368,949.4304039360212
-478.806634877784,954.4002397709612
-479.09718976990973,959.3790473206242
-479.37784795372346,964.3638023256672
-479.65860840404264,969.3553898352478
-479.94951297031736,974.3546537623922
-480.2604243934443,979.3601833831254
-480.6153813926602,984.3649093490297
-481.00016619307473,989.3651157645437
-481.398918614489,994.3611329129775
-481.8048040369553,999.3530359015322
-482.21199629217415,1004.3408206725358
-482.61468878635543,1009.3244802332572
-483.0070913168353,1014.3040034012613
-483.3834302696519,1019.2793735364844
-483.73694938649237,1024.2506422473555
-484.0639039572725,1029.2176435508957
-484.3575746094575,1034.1804314831008
-484.61225593966293,1039.1389838715181
-484.77029962905414,1044.095274622985
-484.779998780332,1049.0488904082197
-484.73362922448723,1053.9946136549008
-484.625623776105,1058.9324525587401
-484.451434351183,1063.8748149435444
-484.1230167310316,1068.8464625752106
-483.8841461650052,1073.867527935702
-483.8999102357782,1078.9419382505682
-483.9215494847747,1084.0592183956924
-483.9514696427991,1089.1886605950854
-484.07962932061554,1094.2916597327307
-484.27063421432473,1099.355663010384
-484.4855289116271,1104.2705350515525
-484.527936909058,1108.5593762389763
-484.00339513792,1111.9245141582435
