x,y
84.59023246352392,-286.6308557835813
87.0196596100293,-290.674404927669
89.77540187411425,-294.80791911155495
92.48104458475444,-298.99478054367705
95.17945568253975,-302.9669193785226
98.23950578359714,-306.39618690511435
101.5918372389805,-309.28762819774784
105.26452443677216,-311.5046963809142
108.7632253102768,-313.6332555662448
112.43892833540573,-315.44211851375235
116.57642459742323,-316.54905033864304
121.05261053404858,-317.22500071462645
125.66014274458102,-317.7099211454974
130.01814151319107,-318.1999569265771
133.8078778607405,-318.07581723750536
136.9429428023139,-317.5906511349373
140.0343055039575,-316.55864977734956
143.26660080038803,-314.20815143039584
146.50219752757846,-310.80233007308146
149.8592711349185,-307.0550358442126
153.24789031095088,-303.2809730951754
156.62572305938062,-299.54573759238997
160.0106155992705,-295.8461698972526
163.4195212906107,-292.1757486477489
166.9403377746348,-288.5971060938643
170.57192263472228,-285.07819534156073
174.32675925323764,-281.5158903417975
178.19432889532808,-277.7851303495245
182.5231640150234,-274.2382297090314
187.4099509838356,-271.1153955029078
192.75776055932988,-268.6583808290112
198.36530469574126,-267.0446083780485
204.10949980561955,-266.41504948072134
209.94910605944617,-267.0647827550334
215.8355884430669,-267.9058924943067
221.50037535669887,-269.5632448212217
226.4517921329576,-272.0367065509941
230.9997300283218,-274.6230534748839
235.34038206287696,-277.22499970921587
239.57024201360863,-279.7368106394035
243.80025218149893,-282.11415926805694
248.0799532193886,-284.3764088568205
252.39113573344488,-286.56372253941225
256.7447499748928,-288.6509028489714
261.1482559215945,-290.614281669145
265.5987520870234,-292.4496310484748
270.1023088375403,-294.1283517298163
274.65576522433247,-295.6398321283408
279.2439554105253,-297.0107401157116
283.81810673705866,-298.4101702948237
288.4273479013755,-299.68643108276
293.0846415610273,-300.76997510083595
297.7932691234955,-301.59745533954157
302.5280819443309,-302.26471569447705
307.29210600508253,-302.6756072913363
312.0663846207129,-302.85588073909645
316.8327981951796,-302.95712652498213
321.5947307055077,-303.10259673571704
326.35708874601556,-303.07679163474705
331.105570155098,-302.79618523304447
335.8286466044185,-302.2966337551177
340.5208861797845,-301.6168494726725
345.1902606815625,-300.82906921621657
349.83312727619676,-299.9077439290834
354.43393149458126,-298.79771020604767
358.8632569301509,-297.13530682177566
363.2048226137782,-295.28255814611845
367.4544174387442,-293.24718535617916
371.7737205478153,-291.3820292910971
376.10465433385025,-289.49839328810276
380.3676394956332,-287.4171492400463
384.444648038578,-284.95129723314375
388.2965954934471,-282.098709057823
392.0629012944802,-279.1180743665296
395.8023321569849,-276.1223289367786
399.46421676028274,-273.0579257284506
403.00299086258144,-269.87747932375885
406.4021587298422,-266.5732908386316
409.65417496507683,-263.1472853685344
412.7520713816764,-259.59790399227717
415.7101200969619,-255.92199567595276
418.55791584658334,-252.12148396873098
421.2866130132285,-248.18893405508913
423.88903814831167,-244.13012244579613
426.3052963260679,-239.92300266471543
428.6328468221885,-235.6400737585279
430.8788061619692,-231.3059256452252
433.07776440074537,-226.9978016635453
435.12221233704514,-222.71090786581772
436.95433908554975,-218.42412888131065
438.69973069338903,-214.1206797271582
440.3060018014553,-209.65668522640783
441.81440804747166,-205.00539721313038
443.36097037075444,-200.24993683366597
444.9693689138133,-195.47231682484988
446.60335407645675,-190.70547050066378
448.2383719342425,-185.9447367447135
449.6873321629495,-181.13168284583142
451.17325388554633,-176.32687700768204
452.6996284098247,-171.5292537839964
454.26481571139,-166.75079428852828
455.8334104541863,-162.0132054932742
457.3401469094536,-157.31906137735214
458.7294326725504,-152.63917106457816
459.98838222312895,-147.91815096506514
461.04200646717857,-143.09929483719327
461.93934414923945,-138.19723884410655
462.8460296202794,-133.27090277182083
463.7650707058891,-128.34248753480824
464.6949946018532,-123.41606868260556
465.6362544603065,-118.49183495250034
466.5863834263253,-113.5692799314238
467.652711759499,-108.67460650650968
468.94141631045443,-103.8345309459992
470.2391114227118,-98.99751486662826
471.5433550840409,-94.16293646850632
